postcode,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population
0800,1064.3497942,9.0,1084.2614326,9.0,7149.0
0810,1026.802176,7.0,1036.2668418,8.0,34330.0
0812,981.13716196,4.0,981.72097909,6.0,18634.0
0820,1061.2508063,9.0,1075.7218767,9.0,19920.0
0822,601.5522073,1.0,760.60445857,1.0,25304.0
0828,989.31979488,5.0,999.91593027,7.0,1697.0
0829,892.68896573,1.0,857.5614064,1.0,1963.0
0830,969.59128737,4.0,963.34138157,5.0,18501.0
0832,1048.4485772,8.0,1032.4786194,8.0,18727.0
0834,1057.3890146,9.0,1050.6178154,8.0,1811.0
0835,1057.4533127,9.0,1039.2787463,8.0,3153.0
0836,1044.1931103,8.0,1026.2147598,8.0,7597.0
0837,1011.2477384,6.0,987.16614422,6.0,489.0
0838,987.66800608,5.0,975.0789582,5.0,870.0
0839,952.96452263,3.0,923.58840061,3.0,510.0
0840,867.82039441,1.0,864.22010126,1.0,457.0
0841,969.30589887,4.0,932.04311606,3.0,627.0
0845,801.55692982,1.0,842.00085701,1.0,396.0
0846,925.76120154,2.0,884.13219268,1.0,317.0
0847,793.38667691,1.0,847.35521152,1.0,318.0
0850,954.3523004,3.0,960.99149506,5.0,7873.0
0852,556.24968449,1.0,717.92180773,1.0,8735.0
0853,1145.9472148,10.0,1080.1977981,9.0,850.0
0854,651.53016986,1.0,760.53837816,1.0,755.0
0860,790.68684668,1.0,867.31407236,1.0,3080.0
0862,805.8663961,1.0,833.66580794,1.0,715.0
0870,999.27370738,5.0,1007.4163244,7.0,20341.0
0872,559.53758967,1.0,730.13801775,1.0,14676.0
0873,917.86859798,2.0,954.95468497,4.0,2756.0
0874,1120.2407782,10.0,1117.224304,10.0,554.0
0875,945.21515434,3.0,963.12438798,5.0,2482.0
0880,928.47404823,2.0,950.91308218,4.0,4953.0
0885,1110.8187712,10.0,1071.7925306,9.0,751.0
0886,985.96197046,5.0,979.39927404,6.0,755.0
2000,973.06540457,4.0,1106.9733263,10.0,27936.0
2007,959.87482981,3.0,1073.7919125,9.0,7410.0
2008,1022.6977528,7.0,1132.1291391,10.0,10400.0
2009,1041.6038579,8.0,1127.5674776,10.0,12658.0
2010,1046.0130411,8.0,1144.5815529,10.0,26443.0
2011,1050.4773876,8.0,1134.2486111,10.0,18187.0
2015,1094.4321121,10.0,1164.5650373,10.0,11422.0
2016,984.53725337,4.0,1084.7634911,9.0,13072.0
2017,1013.5670148,6.0,1110.241587,10.0,29003.0
2018,1014.3745283,6.0,1064.3779226,9.0,19878.0
2019,1054.4231503,8.0,1084.3535203,9.0,13467.0
2020,1032.9407029,7.0,1096.5227295,10.0,21591.0
2021,1099.640721,10.0,1172.8283077,10.0,14946.0
2022,1077.2049605,9.0,1148.9897947,10.0,13509.0
2023,1119.5907549,10.0,1181.423028,10.0,10590.0
2024,1107.6287912,10.0,1174.6466054,10.0,11380.0
2025,1107.70223,10.0,1178.5296732,10.0,7189.0
2026,1090.9102675,10.0,1165.9686963,10.0,32693.0
2027,1104.5988385,10.0,1168.6895006,10.0,7810.0
2028,1100.2701556,10.0,1170.0565861,10.0,4709.0
2029,1096.0536921,10.0,1157.0240099,10.0,9911.0
2030,1113.9523327,10.0,1175.3414276,10.0,14434.0
2031,1094.8737872,10.0,1154.6511403,10.0,33830.0
2032,1006.2853678,6.0,1067.4534873,9.0,14643.0
2033,1071.4464439,9.0,1121.8707932,10.0,11927.0
2034,1077.8979842,9.0,1144.5064604,10.0,20249.0
