lga_code,lga_name,population_2024,births,deaths,net_internal_migration,net_overseas_migration,population_2025,area_sqkm,population_density_2025
10050,Albury,58768.0,59538.0,770.0,201.0,335.0,234.0,305.6,194.8
10180,Armidale,29686.0,29652.0,-34.0,43.0,-329.0,252.0,7809.4,3.8
10250,Ballina,48135.0,48603.0,468.0,-47.0,313.0,202.0,485.0,100.2
10300,Balranald,2256.0,2244.0,-12.0,10.0,-31.0,9.0,21690.7,0.1
10470,Bathurst,44999.0,45359.0,360.0,207.0,-12.0,165.0,3817.9,11.9
10500,Bayside (NSW),186061.0,187770.0,1709.0,925.0,-3143.0,3927.0,50.6,3709.4
10550,Bega Valley,36700.0,36921.0,221.0,-85.0,224.0,82.0,6278.5,5.9
10600,Bellingen,13312.0,13348.0,36.0,-2.0,-1.0,39.0,1600.4,8.3
10650,Berrigan,8716.0,8773.0,57.0,-47.0,74.0,30.0,2065.9,4.2
10750,Blacktown,439552.0,449385.0,9833.0,4000.0,839.0,4994.0,238.8,1881.5
10800,Bland,5465.0,5455.0,-10.0,22.0,-43.0,11.0,8557.7,0.6
10850,Blayney,7768.0,7831.0,63.0,21.0,29.0,13.0,1524.6,5.1
10900,Blue Mountains,78847.0,79236.0,389.0,66.0,-136.0,459.0,1431.1,55.4
10950,Bogan,2406.0,2373.0,-33.0,21.0,-62.0,8.0,14599.9,0.2
11150,Bourke,2366.0,2310.0,-56.0,20.0,-83.0,7.0,41598.4,0.1
11200,Brewarrina,1401.0,1396.0,-5.0,-2.0,-8.0,5.0,19162.0,0.1
11250,Broken Hill,17599.0,17515.0,-84.0,-9.0,-114.0,39.0,170.1,103.0
11300,Burwood,43352.0,43927.0,575.0,61.0,-670.0,1184.0,7.1,6162.4
11350,Byron,38087.0,38784.0,697.0,138.0,219.0,340.0,565.8,68.5
11400,Cabonne,13917.0,13915.0,-2.0,17.0,-41.0,22.0,6022.3,2.3
11450,Camden,141258.0,146483.0,5225.0,1684.0,3030.0,511.0,201.5,726.9
11500,Campbelltown (NSW),188545.0,191285.0,2740.0,1583.0,-450.0,1607.0,311.4,614.3
11520,Canada Bay,92357.0,93006.0,649.0,389.0,-1081.0,1341.0,19.9,4668.1
11570,Canterbury-Bankstown,385655.0,389687.0,4032.0,2748.0,-4541.0,5825.0,110.2,3535.0
11600,Carrathool,2772.0,2803.0,31.0,15.0,4.0,12.0,18934.5,0.1
11650,Central Coast (NSW),355354.0,357816.0,2462.0,401.0,238.0,1823.0,1681.0,212.9
11700,Central Darling,1776.0,1773.0,-3.0,4.0,-13.0,6.0,53492.2,0.0
11720,Cessnock,69432.0,71443.0,2011.0,505.0,1405.0,101.0,1965.2,36.4
11730,Clarence Valley,56216.0,56874.0,658.0,-133.0,677.0,114.0,10428.7,5.5
11750,Cobar,4015.0,4019.0,4.0,26.0,-33.0,11.0,45575.4,0.1
11800,Coffs Harbour,81529.0,82109.0,580.0,94.0,53.0,433.0,1173.7,70.0
12000,Coolamon,4636.0,4742.0,106.0,12.0,87.0,7.0,2430.9,2.0
12150,Coonamble,3878.0,3889.0,11.0,26.0,-22.0,7.0,9916.1,0.4
12160,Cootamundra-Gundagai,11452.0,11429.0,-23.0,-12.0,-48.0,37.0,3981.4,2.9
