postcode,total_lodgements,avg_weekly_rent,median_weekly_rent,total_refunds,avg_days_bond_held,median_days_bond_held,avg_payment_to_tenant,bonds_held,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population,refund_to_lodgement_ratio,rent_pressure_score
2000,5226,1152.71,1020.0,6156.0,555.65,360.5,3116.5,12649,973.07,4.0,1106.97,10.0,27936.0,1.18,1.05
2007,1702,731.87,659.0,2177.0,455.38,288.0,1922.04,3500,959.87,3.0,1073.79,9.0,7410.0,1.28,0.69
2008,3246,863.17,839.0,4472.0,424.77,310.0,2609.34,5652,1022.7,7.0,1132.13,10.0,10400.0,1.38,0.82
2009,1117,1025.37,940.0,1194.0,880.71,624.5,2953.94,3787,1041.6,8.0,1127.57,10.0,12658.0,1.07,0.9
2010,3022,875.41,795.0,3428.0,802.95,504.5,2585.67,9604,1046.01,8.0,1144.58,10.0,26443.0,1.13,0.76
2011,2610,792.17,695.0,2825.0,837.92,500.0,2423.05,8726,1050.48,8.0,1134.25,10.0,18187.0,1.08,0.66
2015,1146,914.55,850.0,1147.0,809.29,529.0,2691.34,2905,1094.43,10.0,1164.57,10.0,11422.0,1.0,0.78
2016,2717,801.14,779.0,4373.0,389.83,241.0,2606.62,5735,984.54,4.0,1084.76,9.0,13072.0,1.61,0.79
2017,5404,1072.8,1050.0,5982.0,566.16,381.0,3206.38,11098,1013.57,6.0,1110.24,10.0,29003.0,1.11,1.04
2018,1914,992.61,950.0,1932.0,657.91,405.0,2977.31,4044,1014.37,6.0,1064.38,9.0,19878.0,1.01,0.94
2019,642,884.1,850.0,691.0,801.06,534.0,2626.69,1845,1054.42,8.0,1084.35,9.0,13467.0,1.08,0.81
2020,2839,1013.75,990.0,3188.0,573.23,386.0,3016.59,5711,1032.94,7.0,1096.52,10.0,21591.0,1.12,0.96
2021,1321,994.22,825.0,1371.0,895.74,518.0,3084.92,3959,1099.64,10.0,1172.83,10.0,14946.0,1.04,0.75
2022,1145,1115.32,990.0,1186.0,995.46,595.5,3301.7,3513,1077.2,9.0,1148.99,10.0,13509.0,1.04,0.92
2023,529,1333.67,1000.0,555.0,1016.76,558.0,4142.19,1646,1119.59,10.0,1181.42,10.0,10590.0,1.05,0.89
2024,593,1183.24,975.0,621.0,1103.38,645.0,3716.31,1984,1107.63,10.0,1174.65,10.0,11380.0,1.05,0.88
2025,436,1333.58,1050.0,476.0,1132.21,573.5,4000.5,1277,1107.7,10.0,1178.53,10.0,7189.0,1.09,0.95
2026,2748,1216.66,1000.0,3020.0,1058.61,627.0,3418.33,9614,1090.91,10.0,1165.97,10.0,32693.0,1.1,0.92
2027,575,1276.28,1050.0,572.0,997.79,602.0,3963.79,1846,1104.6,10.0,1168.69,10.0,7810.0,1.0,0.95
2028,380,1427.17,1100.0,396.0,939.12,577.0,4189.55,1179,1100.27,10.0,1170.06,10.0,4709.0,1.04,1.0
2029,623,1225.26,995.0,636.0,1155.45,739.5,3575.96,2147,1096.05,10.0,1157.02,10.0,9911.0,1.02,0.91
2030,415,1634.51,1100.0,473.0,1220.22,656.0,4607.31,1356,1113.95,10.0,1175.34,10.0,14434.0,1.14,0.99
2031,2400,993.8,880.0,2503.0,1018.7,616.0,2976.7,7908,1094.87,10.0,1154.65,10.0,33830.0,1.04,0.8
2032,1604,872.2,809.0,1721.0,574.07,353.0,2505.99,4067,1006.29,6.0,1067.45,9.0,14643.0,1.07,0.8
2033,1384,876.45,829.5,1376.0,702.2,383.5,2579.85,3341,1071.45,9.0,1121.87,10.0,11927.0,0.99,0.77
2034,1394,1125.36,975.0,1457.0,970.04,621.0,3380.2,4432,1077.9,9.0,1144.51,10.0,20249.0,1.04,0.9
2035,1701,977.72,880.0,1784.0,888.24,573.0,2849.25,5251,1038.17,8.0,1087.9,9.0,34602.0,1.05,0.85
