postcode,postcode_name,lga_code,lga_name,state_name
2000,2000,17200,Sydney,New South Wales
2007,2007,17200,Sydney,New South Wales
2008,2008,17200,Sydney,New South Wales
2009,2009,17200,Sydney,New South Wales
2010,2010,17200,Sydney,New South Wales
2011,2011,17200,Sydney,New South Wales
2011,2011,19399,Unincorporated NSW,New South Wales
2015,2015,17200,Sydney,New South Wales
2016,2016,17200,Sydney,New South Wales
2017,2017,17200,Sydney,New South Wales
2018,2018,10500,Bayside (NSW),New South Wales
2018,2018,17200,Sydney,New South Wales
2019,2019,10500,Bayside (NSW),New South Wales
2020,2020,10500,Bayside (NSW),New South Wales
2021,2021,17200,Sydney,New South Wales
2021,2021,18500,Woollahra,New South Wales
2021,2021,16550,Randwick,New South Wales
2022,2022,18050,Waverley,New South Wales
2023,2023,18500,Woollahra,New South Wales
2024,2024,18050,Waverley,New South Wales
2025,2025,18500,Woollahra,New South Wales
2026,2026,18050,Waverley,New South Wales
2027,2027,18500,Woollahra,New South Wales
2027,2027,19399,Unincorporated NSW,New South Wales
2028,2028,18500,Woollahra,New South Wales
2029,2029,18050,Waverley,New South Wales
2029,2029,18500,Woollahra,New South Wales
2030,2030,18050,Waverley,New South Wales
2030,2030,18500,Woollahra,New South Wales
2031,2031,16550,Randwick,New South Wales
2032,2032,16550,Randwick,New South Wales
2032,2032,10500,Bayside (NSW),New South Wales
2033,2033,16550,Randwick,New South Wales
2034,2034,16550,Randwick,New South Wales
2035,2035,16550,Randwick,New South Wales
2035,2035,10500,Bayside (NSW),New South Wales
2036,2036,16550,Randwick,New South Wales
2036,2036,10500,Bayside (NSW),New South Wales
2037,2037,17200,Sydney,New South Wales
2038,2038,14170,Inner West,New South Wales
2038,2038,17200,Sydney,New South Wales
2039,2039,14170,Inner West,New South Wales
2040,2040,14170,Inner West,New South Wales
2041,2041,14170,Inner West,New South Wales
2041,2041,19399,Unincorporated NSW,New South Wales
2042,2042,17200,Sydney,New South Wales
2042,2042,14170,Inner West,New South Wales
2043,2043,17200,Sydney,New South Wales
2044,2044,14170,Inner West,New South Wales
2044,2044,17200,Sydney,New South Wales
2045,2045,14170,Inner West,New South Wales
2046,2046,11520,Canada Bay,New South Wales
2047,2047,11520,Canada Bay,New South Wales
2048,2048,14170,Inner West,New South Wales
2049,2049,14170,Inner West,New South Wales
2050,2050,14170,Inner West,New South Wales
2050,2050,17200,Sydney,New South Wales
2060,2060,15950,North Sydney,New South Wales
2061,2061,15950,North Sydney,New South Wales
2062,2062,15950,North Sydney,New South Wales
2063,2063,18250,Willoughby,New South Wales
2064,2064,18250,Willoughby,New South Wales
2065,2065,14700,Lane Cove,New South Wales
2065,2065,15950,North Sydney,New South Wales
2065,2065,18250,Willoughby,New South Wales
2066,2066,14700,Lane Cove,New South Wales
2066,2066,18250,Willoughby,New South Wales
2067,2067,18250,Willoughby,New South Wales
2067,2067,16700,Ryde,New South Wales
2068,2068,18250,Willoughby,New South Wales
2069,2069,14500,Ku-ring-gai,New South Wales
2069,2069,18250,Willoughby,New South Wales
2070,2070,14500,Ku-ring-gai,New South Wales
2071,2071,14500,Ku-ring-gai,New South Wales
2072,2072,14500,Ku-ring-gai,New South Wales
2073,2073,14500,Ku-ring-gai,New South Wales
2074,2074,14500,Ku-ring-gai,New South Wales
2075,2075,14500,Ku-ring-gai,New South Wales
2076,2076,14500,Ku-ring-gai,New South Wales
2076,2076,14000,Hornsby,New South Wales
2077,2077,14000,Hornsby,New South Wales
2079,2079,14000,Hornsby,New South Wales
2080,2080,14000,Hornsby,New South Wales
2081,2081,14000,Hornsby,New South Wales
2082,2082,14000,Hornsby,New South Wales
2083,2083,14000,Hornsby,New South Wales
2083,2083,11650,Central Coast (NSW),New South Wales
2084,2084,15990,Northern Beaches,New South Wales
2085,2085,15990,Northern Beaches,New South Wales
2086,2086,15990,Northern Beaches,New South Wales
2087,2087,15990,Northern Beaches,New South Wales
2088,2088,15350,Mosman,New South Wales
2089,2089,15950,North Sydney,New South Wales
2090,2090,15950,North Sydney,New South Wales
2092,2092,15990,Northern Beaches,New South Wales
2093,2093,15990,Northern Beaches,New South Wales
2094,2094,15990,Northern Beaches,New South Wales
2095,2095,15990,Northern Beaches,New South Wales
2096,2096,15990,Northern Beaches,New South Wales
2097,2097,15990,Northern Beaches,New South Wales
2099,2099,15990,Northern Beaches,New South Wales
2100,2100,15990,Northern Beaches,New South Wales
2101,2101,15990,Northern Beaches,New South Wales
2102,2102,15990,Northern Beaches,New South Wales
2103,2103,15990,Northern Beaches,New South Wales
2104,2104,15990,Northern Beaches,New South Wales
2105,2105,15990,Northern Beaches,New South Wales
2106,2106,15990,Northern Beaches,New South Wales
2107,2107,15990,Northern Beaches,New South Wales
2108,2108,15990,Northern Beaches,New South Wales
2110,2110,14100,Hunters Hill,New South Wales
2110,2110,14170,Inner West,New South Wales
2111,2111,16700,Ryde,New South Wales
2111,2111,14100,Hunters Hill,New South Wales
2112,2112,16700,Ryde,New South Wales
2113,2113,16700,Ryde,New South Wales
2114,2114,16700,Ryde,New South Wales
2114,2114,16260,Parramatta,New South Wales
2115,2115,16260,Parramatta,New South Wales
2116,2116,16260,Parramatta,New South Wales
2117,2117,16260,Parramatta,New South Wales
2118,2118,16260,Parramatta,New South Wales
2118,2118,17420,The Hills,New South Wales
2119,2119,16260,Parramatta,New South Wales
2119,2119,14000,Hornsby,New South Wales
2120,2120,14000,Hornsby,New South Wales
2121,2121,16260,Parramatta,New South Wales
2121,2121,14000,Hornsby,New South Wales
2122,2122,16700,Ryde,New South Wales
2122,2122,16260,Parramatta,New South Wales
2125,2125,17420,The Hills,New South Wales
2125,2125,14000,Hornsby,New South Wales
2126,2126,14000,Hornsby,New South Wales
2127,2127,16260,Parramatta,New South Wales
2127,2127,11520,Canada Bay,New South Wales
2128,2128,16260,Parramatta,New South Wales
2130,2130,14170,Inner West,New South Wales
2131,2131,14170,Inner West,New South Wales
2132,2132,14170,Inner West,New South Wales
2132,2132,11300,Burwood,New South Wales
2133,2133,11300,Burwood,New South Wales
2133,2133,11570,Canterbury-Bankstown,New South Wales
2133,2133,14170,Inner West,New South Wales
2134,2134,11300,Burwood,New South Wales
2135,2135,11300,Burwood,New South Wales
2135,2135,17100,Strathfield,New South Wales
2135,2135,11520,Canada Bay,New South Wales
2136,2136,17100,Strathfield,New South Wales
2136,2136,11300,Burwood,New South Wales
2137,2137,11520,Canada Bay,New South Wales
2138,2138,11520,Canada Bay,New South Wales
2140,2140,17100,Strathfield,New South Wales
2140,2140,11520,Canada Bay,New South Wales
2141,2141,12380,Cumberland,New South Wales
2141,2141,16260,Parramatta,New South Wales
2142,2142,16260,Parramatta,New South Wales
2142,2142,12380,Cumberland,New South Wales
2143,2143,11570,Canterbury-Bankstown,New South Wales
2143,2143,12380,Cumberland,New South Wales
2144,2144,12380,Cumberland,New South Wales
2145,2145,12380,Cumberland,New South Wales
2145,2145,16260,Parramatta,New South Wales
2146,2146,16260,Parramatta,New South Wales
2146,2146,12380,Cumberland,New South Wales
2146,2146,10750,Blacktown,New South Wales
2147,2147,10750,Blacktown,New South Wales
2147,2147,16260,Parramatta,New South Wales
2148,2148,10750,Blacktown,New South Wales
2150,2150,16260,Parramatta,New South Wales
2151,2151,16260,Parramatta,New South Wales
2151,2151,17420,The Hills,New South Wales
2152,2152,16260,Parramatta,New South Wales
2153,2153,17420,The Hills,New South Wales
2153,2153,16260,Parramatta,New South Wales
2154,2154,17420,The Hills,New South Wales
2154,2154,14000,Hornsby,New South Wales
2155,2155,17420,The Hills,New South Wales
2155,2155,10750,Blacktown,New South Wales
2156,2156,17420,The Hills,New South Wales
2156,2156,14000,Hornsby,New South Wales
2157,2157,17420,The Hills,New South Wales
2157,2157,14000,Hornsby,New South Wales
2158,2158,14000,Hornsby,New South Wales
2158,2158,17420,The Hills,New South Wales
2159,2159,14000,Hornsby,New South Wales
2160,2160,12380,Cumberland,New South Wales
2160,2160,16260,Parramatta,New South Wales
2161,2161,12380,Cumberland,New South Wales
2161,2161,12850,Fairfield,New South Wales
2162,2162,12380,Cumberland,New South Wales
2162,2162,11570,Canterbury-Bankstown,New South Wales
2163,2163,11570,Canterbury-Bankstown,New South Wales
2163,2163,12850,Fairfield,New South Wales
2164,2164,12380,Cumberland,New South Wales
2164,2164,12850,Fairfield,New South Wales
2165,2165,12850,Fairfield,New South Wales
2165,2165,12380,Cumberland,New South Wales
2166,2166,12850,Fairfield,New South Wales
2167,2167,11500,Campbelltown (NSW),New South Wales
2168,2168,14900,Liverpool,New South Wales
2170,2170,14900,Liverpool,New South Wales
2170,2170,12850,Fairfield,New South Wales
2171,2171,14900,Liverpool,New South Wales
2172,2172,14900,Liverpool,New South Wales
2172,2172,17150,Sutherland,New South Wales
2173,2173,14900,Liverpool,New South Wales
2173,2173,17150,Sutherland,New South Wales
2173,2173,11500,Campbelltown (NSW),New South Wales
2174,2174,14900,Liverpool,New South Wales
2175,2175,12850,Fairfield,New South Wales
2176,2176,12850,Fairfield,New South Wales
2177,2177,12850,Fairfield,New South Wales
2178,2178,16350,Penrith,New South Wales
2178,2178,12850,Fairfield,New South Wales
2178,2178,14900,Liverpool,New South Wales
2179,2179,14900,Liverpool,New South Wales
2179,2179,11450,Camden,New South Wales
2190,2190,11570,Canterbury-Bankstown,New South Wales
2190,2190,17100,Strathfield,New South Wales
2191,2191,11570,Canterbury-Bankstown,New South Wales
2191,2191,17100,Strathfield,New South Wales
2192,2192,11570,Canterbury-Bankstown,New South Wales
2193,2193,11570,Canterbury-Bankstown,New South Wales
2193,2193,14170,Inner West,New South Wales
2194,2194,11570,Canterbury-Bankstown,New South Wales
2195,2195,11570,Canterbury-Bankstown,New South Wales
2196,2196,11570,Canterbury-Bankstown,New South Wales
2197,2197,11570,Canterbury-Bankstown,New South Wales
2198,2198,11570,Canterbury-Bankstown,New South Wales
2199,2199,11570,Canterbury-Bankstown,New South Wales
2200,2200,11570,Canterbury-Bankstown,New South Wales
2203,2203,14170,Inner West,New South Wales
2204,2204,14170,Inner West,New South Wales
2205,2205,10500,Bayside (NSW),New South Wales
2206,2206,11570,Canterbury-Bankstown,New South Wales
2207,2207,10500,Bayside (NSW),New South Wales
2208,2208,11570,Canterbury-Bankstown,New South Wales
2208,2208,10500,Bayside (NSW),New South Wales
2208,2208,12930,Georges River,New South Wales
2209,2209,12930,Georges River,New South Wales
